"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"420940 Laguna";13;5;66;9;14;8;5;8;-;40;45;45;15;4;6;8;8;18;-;128;445
"420945 Lajeado Grande";-;-;4;1;1;-;-;-;-;-;2;1;2;-;1;1;-;1;-;3;17
"420950 Laurentino";-;-;2;2;3;1;1;-;-;1;6;5;2;1;1;1;-;6;-;5;37
"420960 Lauro Muller";-;1;9;1;9;2;4;2;-;1;14;19;11;1;3;5;4;6;-;39;131
"420970 Lebon Régis";-;-;13;-;5;-;-;2;-;7;6;6;4;1;-;1;2;3;7;12;69
"420980 Leoberto Leal";-;-;-;-;3;-;-;-;-;-;4;2;1;1;-;2;1;1;-;4;19
"420985 Lindóia do Sul";-;-;6;-;2;-;-;1;-;2;5;6;5;2;2;2;3;3;-;19;58
"420990 Lontras";-;-;5;1;5;3;2;-;-;8;6;10;2;1;1;1;1;3;1;8;58
"421000 Luiz Alves";-;3;55;1;6;2;-;8;-;7;19;35;8;1;3;4;-;6;6;30;194
"421003 Luzerna";3;3;6;-;2;2;2;-;-;11;7;13;4;1;2;2;3;7;-;30;98
"421005 Macieira";-;-;1;1;1;-;-;-;-;-;2;3;4;-;1;1;1;2;-;2;19
"421010 Mafra";189;153;392;55;36;41;2;21;-;247;52;135;29;20;8;12;11;32;1;212;1648
"421020 Major Gercino";-;-;1;1;2;1;1;-;-;1;1;4;2;3;2;1;-;3;-;10;33
"421030 Major Vieira";2;2;7;3;3;2;-;-;-;5;5;9;5;1;1;3;4;2;-;12;66
"421040 Maracajá";-;-;12;1;1;1;1;1;-;1;3;7;5;1;1;1;1;4;-;7;48
"421050 Maravilha";17;29;62;25;11;15;6;15;-;144;35;40;32;16;8;12;5;37;-;79;588
"421055 Marema";-;1;4;1;1;1;-;-;-;-;1;1;2;-;1;1;1;1;1;2;19
"421060 Massaranduba";2;1;65;5;6;1;1;2;-;11;17;16;7;1;3;7;1;5;-;33;184
"421070 Matos Costa";-;-;1;-;2;1;-;-;-;-;4;7;1;-;-;1;2;2;-;7;28
"421080 Meleiro";2;4;22;5;4;2;2;1;-;16;8;14;6;1;3;4;2;4;4;16;120
"421085 Mirim Doce";-;-;3;1;2;1;-;-;-;-;3;3;2;-;1;2;-;2;-;3;23
"421090 Modelo";-;-;8;1;2;-;1;1;-;4;4;7;4;2;1;2;1;5;-;10;53
"421100 Mondaí";3;3;13;4;4;3;2;1;-;5;11;12;3;2;3;5;4;11;1;24;114
"421105 Monte Carlo";-;-;6;4;5;1;-;-;-;1;11;9;2;-;-;2;-;2;-;17;60
"421110 Monte Castelo";-;-;7;1;5;1;1;-;-;1;5;15;8;1;1;3;3;3;-;31;86
"421120 Morro da Fumaça";1;5;18;5;7;7;7;3;-;28;9;25;33;12;13;13;13;27;-;54;280
"421125 Morro Grande";-;-;3;1;1;1;1;-;-;-;4;4;2;1;1;1;1;1;-;3;25
"421130 Navegantes";6;11;44;55;20;21;5;12;-;87;67;65;29;12;6;7;6;29;-;123;605
"421140 Nova Erechim";6;4;8;3;4;1;-;2;-;14;10;8;5;1;1;3;-;1;-;14;85
"421145 Nova Itaberaba";-;-;3;1;3;1;1;-;-;-;5;2;2;-;2;2;1;2;-;6;31
"421150 Nova Trento";5;6;26;3;7;2;2;2;-;29;11;26;9;5;3;3;2;8;2;59;210
"421160 Nova Veneza";1;2;41;13;12;9;3;5;-;10;22;14;19;5;8;6;3;12;1;36;222
"421165 Novo Horizonte";-;-;3;1;1;1;-;-;-;-;2;1;1;-;2;-;2;2;2;1;19
"421170 Orleans";5;9;58;12;11;5;4;13;-;34;22;33;12;8;3;7;5;16;-;68;325
"421175 Otacílio Costa";-;-;11;4;6;-;-;1;-;3;26;16;27;2;1;3;6;16;1;50;173
"421180 Ouro";-;-;4;2;2;1;1;1;-;3;4;5;7;-;-;4;2;5;-;8;49
"421185 Ouro Verde";-;-;4;1;1;1;1;-;-;-;2;2;2;1;1;1;2;3;-;3;25
"421187 Paial";-;-;1;-;2;-;-;-;-;-;6;3;1;1;1;3;1;2;-;5;26
"421189 Painel";-;-;1;-;1;-;-;-;-;-;4;4;1;-;1;1;1;1;-;6;21
"421190 Palhoça";24;9;112;33;63;36;17;43;-;244;126;136;48;24;19;30;12;62;2;279;1319
"421200 Palma Sola";2;3;8;4;3;2;2;2;-;-;5;18;4;2;2;2;1;5;-;19;84
"421205 Palmeira";-;-;3;1;1;1;-;-;-;-;2;10;1;-;-;2;1;2;-;6;30
"421210 Palmitos";2;16;38;15;-;11;2;4;-;17;27;27;9;4;4;9;4;7;3;40;239
"421220 Papanduva";4;4;21;4;6;5;4;1;-;7;12;20;12;2;2;4;4;7;3;38;160
"421223 Paraíso";-;-;1;1;2;-;-;-;-;-;4;5;2;-;1;1;1;2;-;7;27
"421225 Passo de Torres";-;-;8;2;3;3;-;-;-;1;2;7;3;1;-;2;1;4;-;5;42
"421227 Passos Maia";-;-;4;1;4;-;-;-;-;1;6;8;2;-;2;2;1;1;-;11;43
"421230 Paulo Lopes";-;-;9;2;3;2;2;1;-;1;10;13;3;2;1;1;2;2;-;18;72
"421240 Pedras Grandes";-;-;2;2;2;2;-;-;-;-;2;3;3;1;1;1;1;1;-;7;28
"421250 Penha";6;7;12;3;10;1;-;-;-;13;26;39;13;5;3;5;1;6;1;52;203
"421260 Peritiba";2;2;9;1;1;-;-;1;-;-;2;10;-;-;3;3;2;4;-;10;50
"421265 Pescaria Brava";-;-;5;2;8;1;1;-;-;3;5;7;2;-;1;2;1;2;1;15;56
"421270 Petrolândia";-;-;5;3;4;2;1;-;-;1;4;8;1;1;1;2;-;2;2;7;44
"421290 Pinhalzinho";3;4;31;9;11;11;6;6;-;33;58;39;18;7;10;2;5;19;4;60;336
"421300 Pinheiro Preto";-;-;3;1;2;1;-;-;-;-;4;4;1;-;-;4;1;1;-;4;26
"421310 Piratuba";-;-;12;-;3;-;-;2;-;-;3;4;8;1;1;3;2;4;-;9;52
"421315 Planalto Alegre";-;-;8;-;1;-;-;-;-;-;6;2;2;1;1;2;-;1;-;3;27
"421320 Pomerode";4;12;56;7;14;13;6;7;-;65;47;46;9;8;5;8;2;13;3;100;425
"421330 Ponte Alta";-;-;6;-;4;-;-;-;-;-;2;7;2;-;-;1;-;2;3;11;38
"421335 Ponte Alta do Norte";-;-;3;2;1;-;-;-;-;2;4;2;2;-;-;1;1;2;1;4;25
"421340 Ponte Serrada";-;-;16;2;7;1;4;1;-;3;13;13;5;2;-;5;3;5;1;31;112
"421350 Porto Belo";-;3;18;4;11;3;2;2;-;12;30;23;9;3;2;4;2;8;-;28;164
"421360 Porto União";13;19;133;16;14;13;2;7;-;134;52;50;36;11;11;10;13;30;26;71;661
"421370 Pouso Redondo";1;-;20;4;7;2;1;1;-;4;12;21;4;1;2;2;2;4;-;35;123
"421380 Praia Grande";4;5;11;3;4;2;1;1;-;10;9;15;5;-;1;13;1;6;-;29;120
"421390 Presidente Castello Branco";-;1;2;-;2;-;-;-;-;-;5;3;-;-;1;2;-;2;-;3;21
"421400 Presidente Getúlio";3;6;27;4;9;4;1;3;-;19;14;26;11;5;2;2;4;6;2;61;209
"421410 Presidente Nereu";-;-;-;1;5;1;-;-;-;-;1;1;1;-;-;-;-;-;-;7;17
"421415 Princesa";-;-;1;1;2;1;-;-;-;-;1;2;2;-;1;1;-;1;-;5;18
"421420 Quilombo";7;9;24;3;5;1;3;4;-;17;18;17;4;4;3;3;3;5;2;35;167
"421430 Rancho Queimado";-;-;3;1;2;1;-;1;-;-;2;5;1;-;-;4;1;1;-;8;30
"421440 Rio das Antas";-;-;13;4;3;2;-;-;-;1;5;6;6;-;2;3;-;2;3;8;58
"421450 Rio do Campo";-;1;6;-;3;-;-;-;-;-;6;8;1;-;-;1;-;1;-;14;41
"421460 Rio do Oeste";-;-;2;2;2;1;-;1;-;-;6;6;6;-;1;-;1;3;-;7;38
"421480 Rio do Sul";59;57;229;73;21;39;14;31;-;392;168;119;35;18;37;16;11;67;2;203;1591
"421470 Rio dos Cedros";9;14;13;29;6;16;1;1;-;22;14;10;7;2;2;3;1;1;7;12;170
"421490 Rio Fortuna";2;2;10;2;2;2;1;1;-;2;4;10;5;3;3;4;4;4;-;13;74
"421500 Rio Negrinho";3;7;58;23;10;13;3;15;-;32;39;47;15;3;5;8;6;8;5;85;385
"421505 Rio Rufino";-;-;1;-;1;-;-;-;-;1;3;5;3;-;-;3;-;1;1;3;22
"421507 Riqueza";-;-;2;-;3;-;-;-;-;-;3;5;1;-;1;1;-;2;-;5;23
"421510 Rodeio";-;1;7;1;9;1;1;1;-;3;7;10;6;1;1;2;2;2;-;24;79
"421520 Romelândia";-;-;14;1;2;1;1;-;-;-;3;8;7;1;1;2;2;5;1;13;62
"421530 Salete";-;-;7;3;3;-;-;1;-;1;5;9;4;1;2;1;-;5;5;8;55
"421535 Saltinho";-;-;2;-;3;-;-;-;-;-;2;2;2;-;1;1;-;1;-;4;18
"421540 Salto Veloso";-;-;9;-;2;1;-;-;-;-;4;5;3;1;1;3;1;3;1;6;40
"421545 Sangão";-;-;2;1;5;1;1;-;-;2;5;8;5;1;1;2;1;2;1;11;49
"421550 Santa Cecília";2;2;29;8;4;3;4;2;-;5;14;17;8;5;2;-;7;8;-;54;174
"421555 Santa Helena";-;-;4;-;1;1;1;-;-;-;3;1;1;-;1;-;-;1;-;5;19
"421560 Santa Rosa de Lima";-;-;2;1;1;1;-;-;-;2;2;4;2;1;1;2;1;2;-;4;26
"421565 Santa Rosa do Sul";-;-;6;1;7;1;-;-;-;1;4;8;6;2;1;1;2;4;1;13;58
"421567 Santa Terezinha";-;-;2;-;3;-;-;-;-;1;4;4;1;-;-;2;1;3;-;12;33
"421568 Santa Terezinha do Progresso";-;-;1;-;3;-;-;-;-;-;2;2;2;-;1;2;-;1;-;3;17
"421569 Santiago do Sul";-;-;2;-;2;-;-;-;-;-;2;2;2;-;1;1;1;1;2;2;18
"421570 Santo Amaro da Imperatriz";1;6;26;7;12;4;3;6;-;46;28;31;9;5;5;3;5;11;4;75;287
"421580 São Bento do Sul";20;38;220;50;14;38;7;18;-;180;173;115;42;20;11;23;9;50;-;272;1300
"421575 São Bernardino";-;-;3;-;-;-;-;-;-;-;2;4;2;-;1;1;-;1;-;3;17
"421590 São Bonifácio";-;1;2;2;1;1;-;2;-;4;5;7;2;2;2;1;-;3;-;17;52
"421600 São Carlos";9;4;15;6;4;3;3;2;-;12;11;12;10;4;2;3;4;6;-;29;139
"421605 São Cristovão do Sul";-;-;3;2;2;1;1;-;-;3;3;8;2;-;-;2;1;2;1;9;40
"421610 São Domingos";-;-;11;3;8;3;-;1;-;2;17;6;4;3;1;8;2;3;-;23;95
"421620 São Francisco do Sul";14;6;78;15;14;11;2;10;-;27;39;82;26;7;5;9;7;21;-;173;546
"421630 São João Batista";1;10;35;5;11;2;4;8;-;31;32;28;8;5;4;3;5;7;-;65;264
"421635 São João do Itaperiú";-;1;9;2;2;-;-;-;-;1;5;8;3;2;1;1;-;5;-;16;56
"421625 São João do Oeste";2;4;8;6;5;2;1;-;-;2;5;11;3;2;2;3;1;3;-;19;79
"421640 São João do Sul";-;-;3;1;3;-;1;-;-;1;4;6;5;1;-;2;1;2;-;11;41
"421650 São Joaquim";4;3;32;9;15;5;4;1;-;13;28;32;16;5;4;8;6;9;-;72;266
"421660 São José";151;72;457;123;73;165;101;131;-;815;325;399;151;54;62;66;47;108;58;1078;4436
"421670 São José do Cedro";4;13;24;4;6;2;1;4;-;13;23;14;7;2;2;2;4;4;-;30;159
"421680 São José do Cerrito";-;-;4;1;2;-;1;-;-;-;3;10;4;1;-;1;2;3;-;10;42
"421690 São Lourenço do Oeste";13;12;55;11;15;4;3;2;-;32;44;36;25;8;9;17;4;11;-;60;361
"421700 São Ludgero";-;-;9;4;7;3;2;-;-;-;3;17;4;3;1;1;2;3;-;19;78
"421710 São Martinho";-;-;3;-;1;-;1;-;-;-;2;7;1;1;2;1;2;3;1;4;29
"421715 São Miguel da Boa Vista";-;-;3;-;5;-;-;-;-;-;2;2;2;-;1;1;-;1;-;3;20
"421720 São Miguel do Oeste";27;18;116;34;13;24;12;20;-;204;87;134;65;15;12;23;8;59;-;318;1189
"421725 São Pedro de Alcântara";-;-;14;-;3;2;3;-;-;4;4;31;1;-;2;2;3;5;5;77;156
"421730 Saudades";4;3;10;9;5;2;-;-;-;11;25;9;4;1;3;3;-;9;-;17;115
"421740 Schroeder";-;1;20;2;7;-;2;1;-;7;10;19;12;-;7;3;1;2;-;29;123
"421750 Seara";5;4;23;10;17;7;2;5;-;20;24;25;20;3;8;6;-;10;3;35;227
"421755 Serra Alta";-;-;4;1;1;-;-;-;-;-;5;1;2;2;1;3;1;3;-;4;28
"421760 Siderópolis";-;1;21;1;5;5;3;-;-;8;8;21;7;2;2;2;6;9;1;25;127
"421770 Sombrio";4;9;25;6;10;4;3;5;-;19;22;31;15;2;5;17;4;7;1;64;253
"421775 Sul Brasil";-;-;1;-;2;-;-;-;-;-;3;2;2;-;1;1;-;1;-;3;16
"421780 Taió";4;3;28;9;5;4;1;2;-;28;28;18;4;4;3;3;1;3;-;34;182
"421790 Tangará";1;2;12;4;5;2;-;3;-;1;8;11;8;1;3;2;4;5;1;21;94
"421795 Tigrinhos";-;-;1;1;1;-;-;-;-;-;1;4;2;-;2;1;-;1;-;4;18
"421800 Tijucas";7;9;56;14;20;14;10;17;-;93;72;60;21;9;8;11;4;19;-;174;618
"421810 Timbé do Sul";3;1;11;3;2;1;2;1;-;6;4;10;4;1;3;2;1;3;-;17;75
"421820 Timbó";11;18;47;30;20;22;3;22;-;141;53;70;30;10;10;13;6;24;10;178;718
"421825 Timbó Grande";-;-;2;-;6;1;-;1;-;-;8;8;2;-;-;1;1;3;-;12;45
"421830 Três Barras";3;5;13;17;9;10;3;-;-;11;11;28;11;6;3;4;6;7;-;79;226
"421835 Treviso";-;-;5;1;3;1;1;-;-;3;4;7;2;-;2;3;2;3;-;10;47
"421840 Treze de Maio";2;2;8;2;3;1;2;3;-;6;7;13;5;1;2;2;-;2;1;14;76
"421850 Treze Tílias";-;-;11;1;4;-;-;1;-;7;7;9;4;-;-;4;-;3;-;11;62
"421860 Trombudo Central";1;-;11;2;2;1;1;3;-;3;8;10;7;1;1;2;3;7;-;26;89
"421870 Tubarão";75;58;150;101;33;93;35;63;-;515;168;258;83;33;29;32;19;101;32;551;2429
"421875 Tunápolis";4;4;16;4;5;3;3;1;-;2;6;11;6;1;4;2;4;8;-;25;109
"421880 Turvo";3;9;36;14;7;6;1;1;-;18;18;20;10;3;3;2;3;7;-;24;185
"421885 União do Oeste";-;-;1;-;2;1;-;-;-;-;2;2;2;-;1;1;1;1;1;3;18
"421890 Urubici";2;4;13;4;4;-;1;-;-;2;6;15;5;2;2;2;3;4;-;19;88
"421895 Urupema";-;-;2;1;1;-;-;-;-;-;2;4;2;1;1;1;1;1;-;4;21
"421900 Urussanga";1;12;31;8;12;9;5;5;-;30;24;27;12;2;3;17;2;9;1;50;260
"421910 Vargeão";4;3;6;2;2;2;-;1;-;3;11;5;4;1;2;2;1;1;-;12;62
"421915 Vargem";-;-;1;1;2;1;1;1;-;-;3;6;1;2;1;1;1;2;-;6;30
"421917 Vargem Bonita";-;-;1;2;5;1;-;-;-;1;4;4;2;2;3;3;3;3;2;3;39
"421920 Vidal Ramos";-;-;8;1;3;2;-;-;-;2;2;7;3;1;1;2;-;1;-;14;47
"421930 Videira";24;22;176;34;14;36;5;33;-;163;83;83;26;13;13;24;11;30;1;191;982
"421935 Vitor Meireles";-;-;7;-;3;1;-;-;-;-;5;8;2;1;1;1;2;2;-;9;42
"421940 Witmarsum";-;-;5;1;2;1;-;2;-;-;2;8;1;2;3;2;1;2;-;9;41
"421950 Xanxerê";10;22;126;32;17;24;4;8;-;149;85;99;35;20;9;18;11;59;-;263;991
"421960 Xavantina";-;-;4;-;2;-;-;-;-;-;3;5;2;2;2;3;1;1;-;6;31
"421970 Xaxim";4;12;28;32;12;24;3;2;-;32;40;28;14;8;4;8;9;17;27;24;328
"421985 Zortéa";-;-;2;-;2;-;-;-;-;-;2;2;4;-;-;1;-;1;-;4;18
"430003 Aceguá";2;3;9;2;2;3;-;3;-;4;1;14;2;1;2;-;2;2;-;14;66
"430005 Água Santa";-;-;5;2;2;1;-;-;-;-;4;9;2;-;1;3;1;1;-;4;35
"430010 Agudo";2;6;28;2;2;1;2;3;-;13;8;16;5;1;4;4;-;3;-;44;144
"430020 Ajuricaba";-;1;15;2;4;-;-;1;-;2;4;15;11;3;3;4;5;7;4;25;106
"430030 Alecrim";-;-;4;-;3;-;-;1;-;-;4;14;5;2;3;1;1;2;-;22;62
"430040 Alegrete";3;19;75;32;34;30;7;12;-;100;59;87;36;16;16;16;13;50;5;278;888
"430045 Alegria";-;-;7;-;1;-;-;-;-;1;2;3;5;2;3;1;1;4;2;10;42
"430047 Almirante Tamandaré do Sul";-;-;4;3;1;3;-;-;-;-;1;2;1;1;1;1;-;1;-;4;23
"430050 Alpestre";2;5;7;4;4;1;-;3;-;-;5;10;2;-;2;3;1;2;-;15;66
"430055 Alto Alegre";-;-;2;-;1;-;-;-;-;-;4;2;2;-;1;2;1;1;-;3;19
"430057 Alto Feliz";-;-;8;1;1;1;-;-;-;-;2;5;2;-;1;1;-;2;-;3;27
"430060 Alvorada";6;8;80;36;45;33;12;11;-;54;50;136;33;7;8;14;15;33;12;325;918
"430063 Amaral Ferrador";-;-;8;-;-;-;-;-;-;-;1;7;1;-;-;1;-;1;-;16;35
"430064 Ametista do Sul";1;2;6;2;5;2;-;2;-;3;9;9;3;1;2;1;3;2;-;15;68
"430066 André da Rocha";-;-;2;-;1;-;-;-;-;-;2;2;1;-;1;1;1;1;1;1;14
"430070 Anta Gorda";-;-;18;3;2;1;1;1;-;3;6;12;5;1;3;4;1;2;-;10;73
"430080 Antônio Prado";7;26;48;14;7;13;-;8;-;41;14;23;5;6;7;8;4;10;2;41;284
"430085 Arambaré";-;-;4;1;2;1;2;-;-;-;2;16;1;1;-;1;-;2;-;23;56
"430087 Araricá";-;-;15;3;3;2;1;2;-;6;5;11;5;3;5;2;-;5;-;17;85
"430090 Aratiba";4;2;13;1;2;1;-;1;-;17;3;11;6;2;1;4;-;2;-;19;89
"430100 Arroio do Meio";6;14;66;23;5;21;16;2;-;58;19;34;7;-;5;8;2;6;-;83;375
"430107 Arroio do Padre";-;-;8;1;1;1;1;1;-;1;2;7;1;2;1;-;-;2;-;8;37
"430105 Arroio do Sal";-;-;8;7;3;8;1;-;-;-;12;23;5;-;1;2;-;4;-;40;114
"430120 Arroio do Tigre";2;4;20;8;4;5;1;4;-;5;15;14;6;1;5;3;4;4;-;56;161
"430110 Arroio dos Ratos";-;-;13;2;4;1;1;1;-;4;9;12;6;2;1;2;3;7;4;19;91
"430130 Arroio Grande";1;1;31;2;3;3;2;4;-;8;6;27;9;2;4;6;5;11;-;35;160
"430140 Arvorezinha";1;4;13;3;3;3;2;3;-;11;7;13;6;4;2;4;1;5;-;21;106
"430150 Augusto Pestana";-;2;15;1;3;1;5;1;-;1;3;16;2;-;5;2;2;5;-;23;87
"430155 Áurea";-;-;6;-;3;-;-;-;-;-;1;9;2;1;1;-;1;1;-;14;39
"430160 Bagé";9;33;180;53;31;51;17;28;-;270;88;146;78;13;26;25;24;56;2;412;1542
"430163 Balneário Pinhal";-;-;100;1;4;7;2;-;-;2;3;26;3;2;2;3;3;4;1;71;234
"430165 Barão";-;-;16;2;3;2;2;-;-;3;5;9;3;1;2;-;3;5;-;7;63
"430170 Barão de Cotegipe";-;-;5;-;5;1;-;-;-;-;3;11;2;1;1;1;-;5;-;10;45
"430175 Barão do Triunfo";-;-;4;1;1;1;1;-;-;-;2;6;-;-;-;1;-;2;-;10;29
"430185 Barra do Guarita";-;-;-;-;1;1;-;-;-;-;2;1;2;-;1;1;1;1;1;4;16
"430187 Barra do Quaraí";-;-;3;-;1;-;-;-;-;-;2;10;2;-;1;1;2;1;1;10;34
"430190 Barra do Ribeiro";-;-;7;1;4;1;1;-;-;1;5;13;4;-;-;3;-;4;1;20;65
"430192 Barra do Rio Azul";-;-;-;1;1;-;-;-;-;-;2;2;2;2;1;1;-;1;1;1;15
"430195 Barra Funda";-;-;2;1;1;2;-;-;-;-;2;3;3;2;1;2;-;1;-;3;23
"430180 Barracão";-;-;7;1;1;-;-;-;-;1;5;6;3;-;-;-;-;1;-;12;37
"430200 Barros Cassal";-;-;3;1;3;1;-;-;-;1;14;6;5;-;1;4;-;2;-;14;55
"430205 Benjamin Constant do Sul";-;-;2;-;1;-;-;-;-;-;4;4;2;-;2;1;-;1;-;5;22
"430210 Bento Gonçalves";36;105;342;84;18;92;34;21;1;482;138;181;84;16;40;38;11;65;-;262;2050
"430215 Boa Vista das Missões";-;-;2;-;1;-;-;-;-;-;2;3;2;-;2;3;-;1;-;4;20
"430220 Boa Vista do Buricá";3;5;10;1;4;2;-;2;-;6;4;12;5;5;4;3;2;6;-;24;98
"430222 Boa Vista do Cadeado";-;-;2;1;1;1;1;-;-;-;1;6;3;-;4;1;-;3;-;5;29
"430223 Boa Vista do Incra";-;-;1;1;1;1;-;-;-;-;1;3;1;-;1;1;-;2;-;7;20
"430225 Boa Vista do Sul";-;-;4;1;-;2;-;-;-;-;3;1;1;-;1;1;1;3;-;1;19
"430230 Bom Jesus";-;1;11;1;3;4;2;1;-;-;13;17;11;2;3;4;2;8;-;28;111
"430235 Bom Princípio";3;5;37;8;5;9;1;4;-;7;14;21;3;4;3;3;1;12;-;50;190
"430237 Bom Progresso";-;-;1;-;2;-;-;-;-;-;2;3;1;-;1;-;-;1;-;5;16
"430240 Bom Retiro do Sul";7;9;24;6;2;4;-;1;-;6;5;9;7;-;2;-;3;4;1;21;111
"430245 Boqueirão do Leão";4;4;5;3;2;4;5;-;-;-;9;8;13;-;3;4;1;2;-;13;80
"430250 Bossoroca";-;-;2;1;5;1;1;-;-;-;8;11;4;2;1;3;1;2;-;14;56
"430258 Bozano";-;-;3;1;-;1;-;-;-;-;2;3;1;-;1;1;-;2;-;4;19
"430260 Braga";-;-;1;-;2;-;-;-;-;-;2;6;2;-;2;1;-;-;-;10;26
"430265 Brochier";-;-;5;1;1;1;2;-;-;-;3;5;6;3;2;-;1;6;-;11;47
"430270 Butiá";-;-;14;3;5;8;3;2;-;9;6;18;9;2;3;1;3;15;-;46;147
"430280 Caçapava do Sul";3;13;45;11;5;10;2;5;-;14;18;38;7;4;3;9;1;8;3;76;275
"430290 Cacequi";1;-;7;4;8;2;1;1;-;2;15;16;3;3;3;4;1;6;2;28;107
"430300 Cachoeira do Sul";52;20;273;39;11;32;8;17;-;187;76;150;59;12;16;28;13;36;-;413;1442
"430310 Cachoeirinha";10;8;124;44;19;70;11;37;-;109;103;125;23;15;12;48;10;83;14;186;1051
"430320 Cacique Doble";-;-;5;1;3;-;-;-;-;-;4;6;2;1;-;3;-;1;-;16;42
"430330 Caibaté";2;3;7;2;2;2;-;-;-;1;2;8;5;1;3;4;1;4;2;20;69
"430340 Caiçara";-;-;9;-;2;-;-;-;-;-;7;10;2;-;2;1;3;3;-;14;53
"430350 Camaquã";11;46;214;37;14;31;14;20;-;92;89;175;50;15;16;7;21;52;-;529;1433
"430355 Camargo";-;-;3;1;3;1;-;-;-;-;2;2;3;1;1;-;1;3;-;6;27
"430360 Cambará do Sul";-;1;5;1;3;-;-;3;-;-;5;10;2;-;3;2;1;3;-;31;70
"430367 Campestre da Serra";-;-;6;3;1;3;-;-;-;-;4;4;2;-;3;1;-;3;1;14;45
"430370 Campina das Missões";2;6;6;7;2;4;1;2;-;2;6;11;2;-;1;2;-;3;-;31;88
"430380 Campinas do Sul";-;-;6;1;2;-;1;1;-;-;2;7;4;-;1;3;1;1;-;18;48
"430390 Campo Bom";7;17;112;33;18;51;9;10;-;72;56;94;25;13;30;26;5;27;1;256;862
"430400 Campo Novo";-;-;4;-;3;-;-;-;-;-;2;7;1;-;4;1;1;2;-;19;44
"430410 Campos Borges";-;-;3;1;2;1;-;-;-;-;4;7;4;-;-;1;-;2;-;6;31
"430420 Candelária";4;3;28;11;9;9;4;2;-;19;16;35;11;1;9;11;3;9;-;85;269
"430430 Cândido Godói";1;6;7;2;2;1;-;4;-;3;4;11;6;3;3;2;-;6;-;21;82
"430435 Candiota";-;-;8;1;5;-;-;2;-;3;8;11;4;3;4;1;3;7;-;28;88
"430440 Canela";18;13;117;21;6;17;5;9;-;70;28;45;15;7;10;10;12;23;-;114;540
"430450 Canguçu";3;7;80;16;11;22;7;5;-;27;49;48;14;4;3;17;11;18;7;75;424
"430460 Canoas";192;151;681;110;97;158;30;104;-;892;314;718;171;54;68;81;46;184;12;1653;5716
"430461 Canudos do Vale";-;-;1;-;3;1;-;-;-;-;5;2;3;-;1;1;2;1;1;-;21
"430462 Capão Bonito do Sul";-;-;2;1;1;2;-;-;-;-;3;5;1;1;1;1;1;2;-;2;23
"430463 Capão da Canoa";10;24;78;15;10;30;6;16;-;83;46;120;35;6;7;19;7;19;-;311;842
"430465 Capão do Cipó";-;-;2;2;2;1;1;-;-;-;4;3;1;-;1;2;1;1;1;3;25
"430466 Capão do Leão";-;-;75;-;3;2;2;-;-;2;11;36;4;2;6;2;3;10;1;70;229
"430468 Capela de Santana";-;-;22;2;15;1;1;-;-;1;8;9;1;-;1;3;3;1;-;19;87
"430469 Capitão";-;-;1;1;1;-;-;-;-;-;2;2;2;1;2;1;-;1;-;1;15
"430467 Capivari do Sul";-;-;4;1;1;1;1;-;-;-;2;4;1;1;1;1;-;2;3;8;31
"430471 Caraá";-;-;2;-;3;3;-;-;-;-;2;4;1;-;-;1;-;3;-;8;27
"430470 Carazinho";8;37;122;50;21;23;13;19;-;257;91;109;34;5;12;21;8;29;-;234;1093
"430480 Carlos Barbosa";15;12;61;16;2;36;7;6;-;69;23;32;19;4;5;6;2;11;1;69;396
"430485 Carlos Gomes";-;-;1;-;2;-;-;-;-;-;1;1;2;-;2;1;-;1;-;5;16
"430490 Casca";2;3;12;5;2;3;-;2;-;5;12;11;7;4;4;5;2;5;1;20;105
"430495 Caseiros";-;-;3;1;1;-;-;-;-;-;2;3;1;1;-;-;-;1;-;5;18
"430500 Catuípe";-;-;4;-;5;-;-;-;-;-;5;10;6;-;2;3;1;3;1;20;60
"430510 Caxias do Sul";409;482;1642;527;71;565;152;177;1;2681;596;1042;352;104;146;173;89;342;12;3319;12882
"430511 Centenário";-;-;2;-;1;-;-;-;-;-;1;3;2;-;-;2;-;1;-;4;16
"430512 Cerrito";-;-;5;1;3;2;1;1;-;1;2;5;1;-;1;2;3;1;-;7;36
"430513 Cerro Branco";-;-;6;-;2;1;-;-;-;-;5;4;2;-;1;2;1;3;-;13;40
"430515 Cerro Grande";-;-;3;1;1;1;-;-;-;-;1;3;2;-;1;1;-;1;1;5;21
"430517 Cerro Grande do Sul";-;-;18;5;3;-;-;-;-;-;6;14;2;1;1;4;2;4;-;44;104
"430520 Cerro Largo";4;5;43;5;6;4;-;2;-;7;12;13;7;1;3;11;-;3;1;35;162
"430530 Chapada";-;-;9;1;4;1;-;3;-;8;7;15;5;2;3;3;1;3;-;31;96
"430535 Charqueadas";-;-;41;7;13;4;9;6;-;11;50;51;17;7;5;8;18;40;5;127;419
"430537 Charrua";-;-;1;1;1;2;-;-;-;-;2;3;2;1;1;1;2;1;-;5;23
